Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp, Black,190.92,5,-147.963
Office Supplies,Envelopes,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,113.328,9,35.415
Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,532.399,3,-46.976
Furniture,Chairs,Global Fabric Manager's Chair, Dark Gray,212.058,3,-15.147
Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,41.756
Technology,Phones,Panasonic Kx-TS550,147.168,4,16.556
Office Supplies,Storage,Eldon Base for stackable storage shelf, platinum,77.88,2,3.894
Office Supplies,Storage,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers,95.616,2,9.562
Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack,45.98,2,19.771
Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.206
Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black,211.96,4,8.478
Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,45.0,3,4.95
Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,21.8,2,6.104
Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack,38.22,6,17.963
Office Supplies,Labels,Avery 485,75.18,6,35.335
Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,2.957
Furniture,Chairs,Global Leather Task Chair, Black,89.99,1,17.098
Office Supplies,Fasteners,Advantus Push Pins,15.26,7,6.257
Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,298.685
Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,52.14
Office Supplies,Paper,Xerox 232,32.4,5,15.552
Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,7.098
Office Supplies,Paper,Array Parchment Paper, Assorted Colors,14.56,2,6.989
Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,30.0,2,3.3
Office Supplies,Binders,Plastic Binding Combs,48.48,4,16.362
Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.84
Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack,13.98,2,6.151
Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11",25.824,6,9.361
Office Supplies,Paper,Xerox 1943,146.73,3,68.963
Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,22.333
Furniture,Chairs,Global Value Mid-Back Manager's Chair, Gray,213.115,5,-15.223
Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige,1113.024,8,111.302
Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,62.988
Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate,75.88,2,35.664
Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731
Office Supplies,Paper,Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16",19.05,3,8.763
Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,-114.391
Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48",97.04,2,1.213
Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,-18.196
Office Supplies,Binders,Economy Binders,1.248,3,-1.934
Furniture,Furnishings,6" Cubicle Wall Clock, Black,9.708,3,-5.825
Office Supplies,Storage,SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h,27.24,3,2.724
Furniture,Furnishings,Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak,19.3,5,-14.475
Office Supplies,Appliances,1.7 Cubic Foot Compact "Cube" Office Refrigerators,208.16,1,56.203
Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,8.035
Office Supplies,Art,Premium Writing Pencils, Soft, #2 by Central Association for the Blind,14.9,5,4.172
Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer, Black,21.39,1,6.203
Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,62.807
Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,-48.955
Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,33.216
Technology,Accessories,Logitech?LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,6.797
Office Supplies,Labels,Avery 511,6.16,2,2.957
Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,13.857
Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633
Technology,Phones,Panasonic Kx-TS550,73.584,2,8.278
Office Supplies,Paper,Xerox 1995,6.48,1,3.11
Office Supplies,Paper,Xerox 1999,12.96,2,6.221
Furniture,Furnishings,Seth Thomas 13 1/2" Wall Clock,53.34,3,16.535
Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,16.15
Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,40.543
Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,17.959
Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,22.585
Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,22.618
Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,-10.797
Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.04
Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,11.721
Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,-26.876
Furniture,Furnishings,Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting,102.36,3,-3.839
Office Supplies,Binders,Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets,36.882,3,-25.817
Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,17.602
Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,2.099
Office Supplies,Art,Newell Chalk Holder,3.304,1,1.074
Technology,Accessories,Logitech?Gaming G510s - Keyboard,339.96,5,67.992
Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,10.91
Office Supplies,Art,Hunt PowerHouse Electric Pencil Sharpener, Blue,75.96,2,22.788
Office Supplies,Binders,Avery Durable Plastic 1" Binders,27.24,6,13.348
Office Supplies,Fasteners,OIC Colored Binder Clips, Assorted Sizes,40.096,14,14.535
Office Supplies,Envelopes,Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2,4.72,2,1.652
Office Supplies,Paper,Xerox 1921,23.976,3,7.492
Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes, Plain White,130.464,6,44.032
Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,165.381
Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,-115.716
Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,18.346
Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,13.878
Office Supplies,Storage,Companion Letter/Legal File, Black,226.56,6,63.437
Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,51.759
Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,19.732
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,-8.579
Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,-407.682
Office Supplies,Binders,Avery Durable Slant Ring Binders, No Labels,2.388,2,-1.831
Office Supplies,Storage,Trav-L-File Heavy-Duty Shuttle II, Black,243.992,7,30.499
Furniture,Chairs,Global Task Chair, Black,81.424,2,-9.16
Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,26.242
Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,-11.994
Office Supplies,Paper,Xerox 1916,78.304,2,29.364
Office Supplies,Fasteners,Staples,21.456,9,6.973
Office Supplies,Paper,Xerox 195,20.04,3,9.619
Office Supplies,Paper,Xerox 1880,35.44,1,16.657
Office Supplies,Art,Sanford Colorific Colored Pencils, 12/Box,11.52,4,3.456
Office Supplies,Fasteners,Ideal Clamps,4.02,2,1.97
Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,26.662
Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,18.446
Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.698
Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,82.8,2,10.35
Office Supplies,Art,Newell 343,8.82,3,2.381
Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,5.104
Office Supplies,Paper,Xerox 1911,143.7,3,68.976
Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,218.252
Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,20.158
Furniture,Furnishings,Seth Thomas 14" Putty-Colored Wall Clock,93.888,4,12.91
Technology,Phones,Plantronics Cordless?Phone Headset?with In-line Volume - M214C,384.45,11,103.802
Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,5.999
Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,1951.84,8,585.552
Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,80.629
Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.766
Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded?Headset,203.184,2,15.239
Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,26.271
Office Supplies,Paper,Xerox 1883,105.52,4,48.539
Office Supplies,Storage,Tenex Personal Project File with Scoop Front Design, Black,80.88,6,21.029
Office Supplies,Art,Newell 311,6.63,3,1.79
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,51.476
Office Supplies,Labels,Avery 519,14.62,2,6.871
Technology,Phones,Avaya 5420 Digital phone,944.93,7,236.233
Office Supplies,Paper,Xerox 1920,5.98,1,2.691
Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,1.36
Office Supplies,Envelopes,Staple envelope,28.4,5,13.348
Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,9.688
Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,2.732
Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,-1359.992
Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,-58.635
Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,-24.858
Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,6.814
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,-453.849
Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,8.999
Office Supplies,Paper,Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6? x 11?,20.94,3,9.842
Office Supplies,Paper,Xerox 1913,110.96,2,53.261
Furniture,Chairs,Global Value Steno Chair, Gray,340.144,7,21.259
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,-131.12
Office Supplies,Labels,Avery 51,20.16,4,6.552
Office Supplies,Appliances,Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection,97.264,4,-243.16
Furniture,Chairs,Padded Folding Chairs, Black, 4/Carton,396.802,7,-11.337
Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,-3.772
Office Supplies,Art,Sanford Colorific Eraseable Coloring Pencils, 12 Count,3.28,1,1.41
Office Supplies,Storage,Tenex File Box, Personal Filing Tote with Lid, Black,24.816,2,1.861
Technology,Accessories,Imation?Secure+ Hardware Encrypted USB 2.0?Flash Drive; 16GB,408.744,7,76.639
Technology,Phones,AT&T TR1909W,503.96,4,131.03
Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95,5,41.986
Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29.0,2,7.25
Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,3.437
Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,22.984
Office Supplies,Storage,Personal Filing Tote with Lid, Black/Gray,37.224,3,3.722
Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,6.255
Furniture,Bookcases,Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors,899.136,4,112.392
Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,20.093
Office Supplies,Paper,Xerox 205,51.84,8,24.883
Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,626.352,3,46.976
Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,6.567
Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,6.712
Office Supplies,Art,Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set,7.408,2,1.204
Office Supplies,Art,Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box,6.048,3,1.588
Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,12.028
Office Supplies,Binders,Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue,2.946,2,-2.259
Office Supplies,Paper,Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page,16.056,3,5.82
Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,6.795
Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,-161.875
Office Supplies,Appliances,Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack,2.6,1,0.292
Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,-178.967
Furniture,Furnishings,Eldon 200 Class Desk Accessories, Burgundy,35.168,7,9.671
Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,44.477
Office Supplies,Storage,Tennsco Lockers, Gray,83.92,4,5.874
Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,35.635
Office Supplies,Binders,Avery Durable Slant Ring Binders, No Labels,15.92,4,7.482
Office Supplies,Fasteners,Advantus Push Pins, Aluminum Head,52.29,9,16.21
Office Supplies,Storage,Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h,91.99,1,3.68
Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,6.5
Office Supplies,Labels,Avery 505,23.68,2,8.88
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,-244.323
Technology,Phones,Speck Products Candyshell Flip Case,62.982,3,-14.696
Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,9,-950.4
Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,4.479
Office Supplies,Storage,Personal Filing Tote with Lid, Black/Gray,93.06,6,26.057
Technology,Phones,Adtran 1202752G1,302.376,3,22.678
Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,1.815
Office Supplies,Paper,While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle,22.704,6,8.23
Office Supplies,Binders,Ibico Standard Transparent Covers,19.776,4,-13.843
Furniture,Furnishings,Executive Impressions 14" Two-Color Numerals Wall Clock,72.704,4,19.085
Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,-383.99
Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,2.717
Office Supplies,Art,Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow,2.2,1,0.968
Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45,5,136.939
Office Supplies,Storage,Rogers Deluxe File Chest,21.98,1,0.22
Furniture,Chairs,Global Low Back Tilter Chair,161.568,2,-28.274
Furniture,Chairs,Global Push Button Manager's Chair, Indigo,389.696,8,43.841
Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648,7,-12.432
Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2,-102.048
Furniture,Tables,Bretford Rectangular Conference Table Tops,620.615,3,-248.246
Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328,2,-3.552
Furniture,Furnishings,Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49",258.072,3,0.0
Technology,Accessories,Logitech?P710e Mobile Speakerphone,617.976,3,-7.725
Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,4.752
Office Supplies,Paper,Xerox 1957,25.92,5,9.396
Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,-356.728
Furniture,Furnishings,Staple-based wall hangings,11.688,3,-4.675
Technology,Phones,PureGear Roll-On Screen Protector,31.984,2,11.194
Furniture,Tables,KI Conference Tables,177.225,5,-120.513
Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,-2.831
Office Supplies,Art,Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set,7.408,2,1.204
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,580.539
Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,41.68
Office Supplies,Paper,Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book,47.88,6,23.94
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,496.072
Office Supplies,Paper,Xerox 205,25.92,4,12.442
Furniture,Chairs,Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black,321.568,2,28.137
Office Supplies,Paper,Wirebound Message Books, Two 4 1/4" x 5" Forms per Page,7.61,1,3.577
Technology,Accessories,Logitech?P710e Mobile Speakerphone,3347.37,13,636.0
Office Supplies,Storage,Fellowes Personal Hanging Folder Files, Navy,80.58,6,22.562
Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4,162.864
Furniture,Furnishings,Eldon 100 Class Desk Accessories,12.132,9,-8.492
Office Supplies,Storage,Belkin 19" Vented Equipment Shelf, Black,82.368,2,-19.562
Office Supplies,Storage,Tenex Personal Project File with Scoop Front Design, Black,53.92,5,4.044
Technology,Phones,Logitech Mobile Speakerphone P710e -?speaker phone,647.904,6,56.692
Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37,3,6.926
Office Supplies,Storage,Safco Industrial Shelving,221.55,3,6.647
Office Supplies,Binders,Acco 3-Hole Punch,17.52,5,6.132
Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,2,-4.466
Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3,-509.997
Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,7,-251.996
Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224,4,28.72
Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2,35.156
Office Supplies,Art,Quartet Omega Colored Chalk, 12/Pack,14.016,3,4.73
Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0.302
Office Supplies,Storage,Safco Commercial Shelving,37.208,1,-7.442
Office Supplies,Envelopes,Recycled Interoffice Envelopes with String and Button Closure, 10 x 13,57.576,3,21.591
Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84,4,210.494
Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7,92.369
Furniture,Furnishings,Regeneration Desk Collection,5.28,3,2.323
Office Supplies,Binders,Presstex Flexible Ring Binders,10.92,3,4.095
Office Supplies,Paper,Ampad Gold Fibre Wirebound Steno Books, 6" x 9", Gregg Ruled,8.82,2,4.057
Office Supplies,Art,Newell 330,5.98,1,1.555
Office Supplies,Paper,Post-it ?Important Message? Note Pad, Neon Colors, 50 Sheets/Pad,11.648,2,4.077
Office Supplies,Paper,Adams Write n' Stick Phone Message Book, 11" X 5 1/4", 200 Messages,18.176,4,5.907
Office Supplies,Storage,Eldon Simplefile Box Office,59.712,6,5.971
Office Supplies,Labels,Avery 489,24.84,3,8.694
Office Supplies,Binders,Round Ring Binders,2.08,5,-3.432
Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4,7,376.11
Furniture,Tables,Bevis Round Bullnose 29" High Table Top,1038.84,5,51.942
Office Supplies,Paper,Easy-staple paper,141.76,5,47.844
Technology,Accessories,Microsoft Arc Touch Mouse,239.8,5,47.96
Office Supplies,Paper,Xerox 216,31.104,6,10.886
Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,254.058,7,-169.372
Office Supplies,Appliances,Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection,194.528,2,24.316
Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,5,-204.314
Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.096,7,6.684
Office Supplies,Labels,Avery 512,18.496,8,6.242
Technology,Accessories,Logitech Wireless Gaming Headset G930,255.984,2,54.397
Furniture,Bookcases,Bush Westfield Collection Bookcases, Medium Cherry Finish,86.97,3,-48.703
Furniture,Furnishings,Howard Miller 13" Diameter Goldtone Round Wall Clock,300.416,8,78.859
Furniture,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,20.156
Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,3,-24.565
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,78.6,5,-62.88
Office Supplies,Fasteners,Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box,27.552,3,9.299
Office Supplies,Paper,Xerox 223,32.4,5,15.552
Office Supplies,Storage,Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24" Deep, Sand,1082.48,8,10.825
Office Supplies,Paper,Xerox 1939,56.91,3,27.317
Furniture,Furnishings,Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts,77.6,4,38.024
Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,14.28,1,6.569
Furniture,Tables,BPI Conference Tables,219.075,3,-131.445
Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,2,12.864
Office Supplies,Art,Newell 350,9.84,3,2.854
Office Supplies,Binders,GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack,45.48,3,20.921
Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,83.868
Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,2.005
Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,3.595
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,2,52.511
Furniture,Furnishings,Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany,15.232,1,1.714
Office Supplies,Labels,Avery 509,6.264,3,2.036
Furniture,Furnishings,Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black,87.54,3,37.642
Technology,Phones,AT&T 1070 Corded Phone,178.384,2,22.298
Office Supplies,Paper,Xerox 21,15.552,3,5.443
Office Supplies,Art,Boston School Pro Electric Pencil Sharpener, 1670,99.136,4,8.674
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,24.157
Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2,1995.99
Technology,Phones,Panasonic Kx-TS550,275.94,6,80.023
Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360.0,4,129.6
Office Supplies,Storage,Trav-L-File Heavy-Duty Shuttle II, Black,43.57,1,13.071
Office Supplies,Fasteners,OIC Binder Clips,7.16,2,3.58
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,251.52,6,81.744
Technology,Accessories,Logitech Wireless Headset h800,99.99,1,34.996
Furniture,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.999
Technology,Phones,Aastra 57i VoIP phone,290.898,3,-67.876
Office Supplies,Storage,File Shuttle II and Handi-File, Black,54.224,2,3.389
